event_category,event_group,event_subgroup,event_type,place,event_start_date,comments,fatalities,injured_/_infected,evacuated,estimated_total_cost,normalized_total_cost,event_end_date,federal_dfaa_payments,provincial_dfaa_payments,provincial_department_payments,municipal_costs,ogd_costs,insurance_payments,ngo_payments,utility_-_people_affected,magnitude,unnamed:_22
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,3/1/1902 12:00:00 AM,"Saint John River Basin NB, March 1902. An unusually early break-up and downstream movement of ice cover on the Saint John River resulted from heavy rains, warm temperatures, and raised water levels. A total of 15 ice jams resulted from the raised water levels, causing extensive damage, including washouts of bridges, roads and railways. The lumber industry was also affected, where damage to mills and loss of stock were reported.",2.0,0.0,0.0,,,3/1/1902 12:00:00 AM,,,,,,,,0.0,0.0,
Disaster,Natural,Geological,Landslide,Frank AB,4/29/1903 12:00:00 AM,"Frank AB, April 29, 1903. 70 dead; 60 million tonnes of limestone came crashing down Turtle Mountain on to the small mining town of Frank; the landslide buried part of the town, covering roads, railways and homes; the Old Man River and the CP Rail Tracks were buried under 30 metres of rock.",70.0,23.0,0.0,,,4/29/1903 12:00:00 AM,,,,,,,,0.0,0.0,
Disaster,Natural,Geological,Landslide,Spences Bridge BC,8/13/1905 12:00:00 AM,"Spences Bridge BC, August 13, 1905. A large gravel bank broke away from a mountain side and came crashing down on a First Nation reserve destroying homes and the local church; 15 dead; the landslide into the Thompson River caused a wave which swept victims away.",15.0,0.0,0.0,,,8/13/1905 12:00:00 AM,,,,,,,,0.0,0.0,
Disaster,Natural,Geological,Landslide,Notre-Dame-de-la-Salette QC,4/26/1908 12:00:00 AM,"Notre-Dame-de-la-Salette QC, April 26, 1908. 33 dead, many injured; a tract of land 2.4 km wide and extending 450 metres back slid into the Lièvre River, carrying with it two houses, and crashed into a row of buildings on the opposite side.",33.0,0.0,0.0,,,4/26/1908 12:00:00 AM,,,,,,,,0.0,0.0,
Disaster,Natural,Meteorological - Hydrological,Flood,Chester NB,1/4/1909 12:00:00 AM,"Chester NB, January 4, 1909. Mild weather caused ice to travel and possibly jam, creating floods which caused expensive damage to highway bridges and roads; a 9-year old child fell from a small bridge and drowned in a flood swollen stream near Chester.",1.0,0.0,0.0,,,1/4/1909 12:00:00 AM,,,,,,,,0.0,0.0,
Disaster,Natural,Geological,Landslide,Burnaby and New Westminster BC,11/28/1909 12:00:00 AM,"Burnaby and New Westminster BC, November 28, 1909. 22 dead; 15 injured; slump of railway embankment; trail derailed.",22.0,15.0,0.0,,,11/28/1909 12:00:00 AM,,,,,,,,0.0,0.0,
Disaster,Natural,Meteorological - Hydrological,Avalanche,Rogers Pass BC,3/5/1910 12:00:00 AM,"Rogers Pass BC, March 5, 1910. 62 dead (CPR workers), one survivor; an avalanche struck workers as they cleared the tracks of snow dumped by a previous slide.",62.0,0.0,0.0,,,3/5/1910 12:00:00 AM,,,,,,,,0.0,0.0,
Disaster,Natural,Geological,Landslide,St-Alphonse-de-Bagotville QC,4/15/1910 12:00:00 AM,"St-Alphonse-de-Bagotville QC, April 15, 1910.  Construction camp buried by landslide in leda clay caused by blasting during construction of railway.",4.0,0.0,0.0,,,4/15/1910 12:00:00 AM,,,,,,,,0.0,0.0,
Disaster,Natural,Geological,Landslide,Coucoucache QC,4/18/1910 12:00:00 AM,"Coucoucache QC, April 18, 1910.  Slump of railway embankment; work train derailed.",6.0,0.0,0.0,,,4/18/1910 12:00:00 AM,,,,,,,,0.0,0.0,
Disaster,Natural,Meteorological - Hydrological,Wildfire,Cochrane ON,7/11/1911 12:00:00 AM,"Cochrane and northern region ON, July 11, 1911. A Forest fire resulted in 73 deaths (unofficially in the hundreds), 200 made homeless, 804,650 sq km destroyed.",73.0,0.0,200.0,,,7/11/1911 12:00:00 AM,,,,,,,,0.0,0.0,
Disaster,Natural,Meteorological - Hydrological,Tornado,Regina SK,6/30/1912 12:00:00 AM,"Regina SK, June 30 1912. 28 dead, hundreds injured, 2500 homeless; more than 400 of the finest buildings in the city were destroyed.",28.0,100.0,2500.0,,,6/30/1912 12:00:00 AM,,,,,,,,0.0,0.0,
Disaster,Natural,Meteorological - Hydrological,Heat Event,Eastern Canada,7/8/1912 12:00:00 AM,"Eastern Canada, July 8-10, 1912. Temperatures of >32°C from Ontario to the Atlantic Ocean; at least 3 heat-related deaths in adults were reported, while many more infant deaths were believed to occur in poor areas; one Ontario farmer committed suicide, while a mother killed her children (July 9); wheat, barley, and oats grew below average height and grade.",3.0,0.0,0.0,,,7/10/1912 12:00:00 AM,,,,,,,,0.0,0.0,
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,"Lakes Huron, Erie and Ontario",11/7/1913 12:00:00 AM,"Lakes Huron, Erie, and Ontario, November 7-13, 1913. 270 sailors drowned: 34 ships went down during a fierce weekend storm with winds up to 140 km/h: entire crews of eight ships were lost.",270.0,0.0,0.0,,,11/13/1913 12:00:00 AM,,,,,,,,0.0,0.0,
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Newfoundland coast,1/1/1914 12:00:00 AM,"Newfoundland, 1914. 173 died when the ship ""Southern Cross"" vanished in storm off coast of Newfoundland.",173.0,0.0,0.0,,,1/1/1914 12:00:00 AM,,,,,,,,0.0,0.0,
